Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
205,Coalinga,San Joaquin Valley,5/1/2020,0500,122,0.00, ,0.00, ,0, ,6.2, ,50.9, ,48, ,32.2, ,2.4, ,307, ,74.5,Y
205,Coalinga,San Joaquin Valley,5/1/2020,0600,122,0.00, ,0.00, ,96, ,6.2, ,51.2, ,49, ,32.5, ,3.3, ,338, ,74.1,Y
205,Coalinga,San Joaquin Valley,5/1/2020,0700,122,0.00, ,0.00, ,340, ,7.2, ,57.6, ,44, ,36.0, ,1.6, ,257, ,73.7,Y
205,Coalinga,San Joaquin Valley,5/1/2020,0800,122,0.01, ,0.00, ,814, ,7.3, ,64.9, ,35, ,36.6, ,3.1, ,104, ,73.3,Y
205,Coalinga,San Joaquin Valley,5/1/2020,0900,122,0.02, ,0.00, ,1261, ,6.9, ,69.0, ,28, ,34.9, ,4.3, ,129, ,72.9,Y
205,Coalinga,San Joaquin Valley,5/1/2020,1000,122,0.02, ,0.00, ,1603, ,6.1, ,71.4, ,23, ,31.8, ,5.7, ,116, ,72.6,Y
205,Coalinga,San Joaquin Valley,5/1/2020,1100,122,0.03, ,0.00, ,1852, ,6.2, ,74.3, ,22, ,32.5, ,4.7, ,108, ,72.3, 
205,Coalinga,San Joaquin Valley,5/1/2020,1200,122,0.03, ,0.00, ,1989, ,6.4, ,78.0, ,20, ,33.2, ,5.7, ,130, ,72.2, 
205,Coalinga,San Joaquin Valley,5/1/2020,1300,122,0.03, ,0.00, ,2007, ,5.9, ,81.5, ,16, ,31.3, ,6.2, ,168, ,72.3, 
205,Coalinga,San Joaquin Valley,5/1/2020,1400,122,0.03, ,0.00, ,1902, ,5.6, ,84.4, ,14, ,29.7, ,11.3, ,24, ,72.5, 
205,Coalinga,San Joaquin Valley,5/1/2020,1500,122,0.03, ,0.00, ,1685, ,5.7, ,84.5, ,14, ,30.1, ,13.9, ,23, ,72.8, 
205,Coalinga,San Joaquin Valley,5/1/2020,1600,122,0.03, ,0.00, ,1349, ,5.9, ,84.6, ,15, ,31.3, ,12.8, ,20, ,73.3, 
205,Coalinga,San Joaquin Valley,5/1/2020,1700,122,0.02, ,0.00, ,917, ,6.4, ,83.5, ,16, ,33.1, ,12.6, ,13, ,73.8, 
205,Coalinga,San Joaquin Valley,5/1/2020,1800,122,0.01, ,0.00, ,445, ,7.0, ,81.4, ,19, ,35.3, ,11.3, ,13, ,74.3, 
205,Coalinga,San Joaquin Valley,5/1/2020,1900,122,0.01, ,0.00, ,63, ,7.1, ,78.1, ,22, ,35.8, ,8.1, ,342, ,74.8, 
205,Coalinga,San Joaquin Valley,5/1/2020,2000,122,0.00, ,0.00, ,0, ,6.9, ,74.2, ,24, ,35.1, ,5.0, ,324, ,75.2, 
205,Coalinga,San Joaquin Valley,5/2/2020,0500,123,0.00, ,0.00, ,0, ,6.2, ,55.7, ,41, ,32.4, ,5.1, ,333, ,74.2,Y
205,Coalinga,San Joaquin Valley,5/2/2020,0600,123,0.00, ,0.00, ,72, ,7.0, ,52.9, ,51, ,35.4, ,2.5, ,243, ,73.9,Y
205,Coalinga,San Joaquin Valley,5/2/2020,0700,123,0.00, ,0.00, ,429, ,7.4, ,59.0, ,43, ,36.8, ,1.6, ,243, ,73.5,Y
205,Coalinga,San Joaquin Valley,5/2/2020,0800,123,0.01, ,0.00, ,861, ,9.2, ,62.7, ,47, ,42.5, ,3.2, ,136, ,73.1,Y
205,Coalinga,San Joaquin Valley,5/2/2020,0900,123,0.02, ,0.00, ,1273, ,8.7, ,67.4, ,38, ,40.8, ,3.8, ,139, ,72.8,Y
205,Coalinga,San Joaquin Valley,5/2/2020,1000,123,0.02, ,0.00, ,1615, ,10.2, ,71.3, ,39, ,45.0, ,5.1, ,133, ,72.4,Y
205,Coalinga,San Joaquin Valley,5/2/2020,1100,123,0.03, ,0.00, ,1861, ,10.8, ,74.0, ,38, ,46.5, ,5.2, ,113, ,72.2, 
205,Coalinga,San Joaquin Valley,5/2/2020,1200,123,0.03, ,0.00, ,1984, ,10.5, ,76.6, ,34, ,45.8, ,5.7, ,74, ,72.2, 
205,Coalinga,San Joaquin Valley,5/2/2020,1300,123,0.03, ,0.00, ,1995, ,9.9, ,79.5, ,29, ,44.4, ,7.6, ,64, ,72.2, 
205,Coalinga,San Joaquin Valley,5/2/2020,1400,123,0.03, ,0.00, ,1885, ,10.3, ,81.0, ,28, ,45.2, ,9.1, ,54, ,72.5, 
205,Coalinga,San Joaquin Valley,5/2/2020,1500,123,0.03, ,0.00, ,1660, ,9.8, ,82.1, ,26, ,43.9, ,8.5, ,29, ,72.8, 
205,Coalinga,San Joaquin Valley,5/2/2020,1600,123,0.02, ,0.00, ,1331, ,10.0, ,82.4, ,26, ,44.6, ,9.4, ,37, ,73.3, 
205,Coalinga,San Joaquin Valley,5/2/2020,1700,123,0.02, ,0.00, ,780, ,10.4, ,81.8, ,28, ,45.5, ,8.8, ,27, ,73.8, 
205,Coalinga,San Joaquin Valley,5/2/2020,1800,123,0.01, ,0.00, ,286, ,10.7, ,79.9, ,31, ,46.3, ,10.5, ,24, ,74.4, 
205,Coalinga,San Joaquin Valley,5/2/2020,1900,123,0.01, ,0.00, ,74, ,11.3, ,76.0, ,37, ,47.8, ,11.9, ,9, ,74.8, 
205,Coalinga,San Joaquin Valley,5/2/2020,2000,123,0.01, ,0.00, ,0, ,11.4, ,72.3, ,42, ,48.1, ,13.0, ,354, ,75.3, 
205,Coalinga,San Joaquin Valley,5/3/2020,0500,124,0.00, ,0.00, ,0, ,10.6, ,56.3, ,68, ,46.1, ,8.2, ,314, ,74.6,Y
205,Coalinga,San Joaquin Valley,5/3/2020,0600,124,0.00, ,0.00, ,92, ,10.7, ,55.7, ,71, ,46.3, ,2.9, ,130, ,74.2,Y
205,Coalinga,San Joaquin Valley,5/3/2020,0700,124,0.00, ,0.00, ,428, ,11.8, ,58.0, ,72, ,49.0, ,4.3, ,141, ,73.9,Y
205,Coalinga,San Joaquin Valley,5/3/2020,0800,124,0.01, ,0.00, ,835, ,12.3, ,61.6, ,66, ,50.1, ,3.2, ,123, ,73.5,Y
