Stn Id,Stn Name,CIMIS Region,Date,Hour (PST),Jul,ETo (in),qc,Precip (in),qc,Sol Rad (Ly/day),qc,Vap Pres (mBars),qc,Air Temp (F),qc,Rel Hum (%),qc,Dew Point (F),qc,Wind Speed (mph),qc,Wind Dir (0-360),qc,Soil Temp (F),qc
194,Oakdale,San Joaquin Valley,5/1/2020,0500,122,0.00, ,0.00, ,0, ,12.6, ,51.1, ,98, ,50.7, ,1.9, ,33, ,61.1, 
194,Oakdale,San Joaquin Valley,5/1/2020,0600,122,0.00, ,0.00, ,105, ,12.5, ,51.0, ,98, ,50.5, ,2.3, ,54, ,60.9, 
194,Oakdale,San Joaquin Valley,5/1/2020,0700,122,0.00, ,0.00, ,380, ,13.0, ,55.5, ,87, ,51.5, ,2.8, ,354, ,60.8, 
194,Oakdale,San Joaquin Valley,5/1/2020,0800,122,0.01, ,0.00, ,823, ,12.7, ,61.3, ,69, ,50.9, ,5.1, ,346, ,60.6, 
194,Oakdale,San Joaquin Valley,5/1/2020,0900,122,0.02, ,0.00, ,1257, ,13.0, ,67.0, ,57, ,51.5, ,7.2, ,323, ,60.5, 
194,Oakdale,San Joaquin Valley,5/1/2020,1000,122,0.02, ,0.00, ,1594, ,12.8, ,69.3, ,53, ,51.2, ,7.7, ,321, ,60.3, 
194,Oakdale,San Joaquin Valley,5/1/2020,1100,122,0.03, ,0.00, ,1844, ,13.4, ,73.6, ,47, ,52.4, ,8.2, ,307, ,60.3, 
194,Oakdale,San Joaquin Valley,5/1/2020,1200,122,0.03, ,0.00, ,1974, ,12.2, ,74.1, ,42, ,49.8, ,9.4, ,315, ,60.2, 
194,Oakdale,San Joaquin Valley,5/1/2020,1300,122,0.03, ,0.00, ,1974, ,12.7, ,76.3, ,41, ,50.8, ,9.4, ,318, ,60.2, 
194,Oakdale,San Joaquin Valley,5/1/2020,1400,122,0.03, ,0.00, ,1838, ,12.4, ,78.6, ,37, ,50.2, ,9.2, ,303, ,60.2, 
194,Oakdale,San Joaquin Valley,5/1/2020,1500,122,0.03, ,0.00, ,1597, ,11.1, ,78.7, ,33, ,47.2, ,9.3, ,294, ,60.2, 
194,Oakdale,San Joaquin Valley,5/1/2020,1600,122,0.02, ,0.00, ,1254, ,10.4, ,78.4, ,31, ,45.6, ,9.6, ,299, ,60.3, 
194,Oakdale,San Joaquin Valley,5/1/2020,1700,122,0.02, ,0.00, ,829, ,12.0, ,77.2, ,38, ,49.3, ,9.4, ,307, ,60.4, 
194,Oakdale,San Joaquin Valley,5/1/2020,1800,122,0.01, ,0.00, ,415, ,12.4, ,74.3, ,43, ,50.2, ,8.8, ,300, ,60.5, 
194,Oakdale,San Joaquin Valley,5/1/2020,1900,122,0.00, ,0.00, ,92, ,14.3, ,70.9, ,55, ,54.1, ,6.8, ,296, ,60.6, 
194,Oakdale,San Joaquin Valley,5/1/2020,2000,122,0.00, ,0.00, ,0, ,19.6, ,73.2, ,70, ,62.9, ,5.8, ,315, ,60.7, 
194,Oakdale,San Joaquin Valley,5/2/2020,0500,123,0.00, ,0.00, ,0, ,14.9, ,55.2, ,100, ,55.2, ,3.6, ,4, ,60.7, 
194,Oakdale,San Joaquin Valley,5/2/2020,0600,123,0.00, ,0.00, ,140, ,15.6, ,56.4, ,100, ,56.4, ,4.1, ,347, ,60.6, 
194,Oakdale,San Joaquin Valley,5/2/2020,0700,123,0.00, ,0.00, ,377, ,19.2, ,61.7, ,100, ,61.7, ,6.1, ,346, ,60.5, 
194,Oakdale,San Joaquin Valley,5/2/2020,0800,123,0.01, ,0.00, ,816, ,20.7, ,64.4, ,100, ,64.4, ,8.1, ,339, ,60.5, 
194,Oakdale,San Joaquin Valley,5/2/2020,0900,123,0.01, ,0.00, ,1227, ,20.9, ,66.1, ,96, ,64.8, ,8.3, ,333, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1000,123,0.02, ,0.00, ,1582, ,21.1, ,69.1, ,87, ,65.0, ,8.9, ,325, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1100,123,0.02, ,0.00, ,1830, ,20.7, ,70.6, ,81, ,64.5, ,9.2, ,327, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1200,123,0.03, ,0.00, ,1910, ,20.8, ,73.7, ,73, ,64.7, ,9.5, ,327, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1300,123,0.02, ,0.00, ,1743, ,19.1, ,73.1, ,69, ,62.2, ,8.9, ,332, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1400,123,0.03, ,0.00, ,1836, ,19.5, ,74.7, ,66, ,62.8, ,8.4, ,329, ,60.4, 
194,Oakdale,San Joaquin Valley,5/2/2020,1500,123,0.02, ,0.00, ,1519, ,19.3, ,75.1, ,65, ,62.5, ,9.2, ,329, ,60.5, 
194,Oakdale,San Joaquin Valley,5/2/2020,1600,123,0.01, ,0.00, ,884, ,18.4, ,73.6, ,65, ,61.2, ,9.1, ,330, ,60.6, 
194,Oakdale,San Joaquin Valley,5/2/2020,1700,123,0.01, ,0.00, ,417, ,17.8, ,70.2, ,70, ,60.1, ,10.1, ,333, ,60.7, 
194,Oakdale,San Joaquin Valley,5/2/2020,1800,123,0.00, ,0.00, ,168, ,17.6, ,68.6, ,74, ,59.8, ,9.2, ,337, ,60.8, 
194,Oakdale,San Joaquin Valley,5/2/2020,1900,123,0.00, ,0.00, ,41, ,17.8, ,67.6, ,77, ,60.2, ,8.6, ,329, ,60.9, 
194,Oakdale,San Joaquin Valley,5/2/2020,2000,123,0.00, ,0.00, ,0, ,17.9, ,66.4, ,81, ,60.3, ,8.7, ,331, ,61.0, 
194,Oakdale,San Joaquin Valley,5/3/2020,0500,124,0.00, ,0.00, ,0, ,15.0, ,55.2, ,100, ,55.2, ,2.8, ,322, ,61.0, 
194,Oakdale,San Joaquin Valley,5/3/2020,0600,124,0.00, ,0.00, ,116, ,15.3, ,55.8, ,100, ,55.8, ,3.7, ,335, ,60.9, 
194,Oakdale,San Joaquin Valley,5/3/2020,0700,124,0.00, ,0.00, ,474, ,17.2, ,59.0, ,100, ,59.0, ,5.4, ,320, ,60.9, 
